"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-05 16:45:08",1757090708513,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",-1,"884x8-1757090708315-20cf2c7a6e46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: 📡 version env with Radar: https://dotenvx.com/radar","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC8Z08XVKFRWMKYKQVVZX8","",-1
"2025-09-05 16:45:08",1757090708488,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"884x8-1757090708315-20cf2c7a6e46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",21,"iad1",116,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC8Z08XVKFRWMKYKQVVZX8","4uqg09NN2s1M",1
"2025-09-05 16:45:08",1757090708488,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"5g8zc-1757090708315-8ed5784ae1ab","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",24,"iad1",117,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC8Z08XVKFRWMKYJGX2D3F","4uqg09NN2s1M",1
"2025-09-05 16:43:15",1757090595188,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/status","GET","",-1,"gtbpp-1757090594252-32c792245449","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: ⚙️  enable debug logging with { debug: true }","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC5FFMC8EHQYWD8E43TM46","",-1
"2025-09-05 16:43:14",1757090594292,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"gtbpp-1757090594252-32c792245449","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",27,"iad1",118,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC5FFMC8EHQYWD8E43TM46","FOPZ4ECrYNxI",1
"2025-09-05 16:43:14",1757090594292,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"w668l-1757090594252-a70e395042eb","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",6,"iad1",134,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC5FFMC8EHQYWD8FNBJE0Y","uIzoxIR7ZbL1",1
"2025-09-05 16:43:14",1757090594275,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",-1,"rd2l9-1757090593999-68ad03db9e95","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: ⚙️  load multiple .env files with { path: ['.env.local', '.env'] }","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC5FEAD9JH9FFEQ6S3VDXA","",-1
"2025-09-05 16:43:14",1757090594250,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"lcg62-1757090594002-ff0e8fc4426c","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",90,"iad1",134,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC5FEAD9JH9FFEQ2X0JNAM","uIzoxIR7ZbL1",1
"2025-09-05 16:43:14",1757090594250,"ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"rd2l9-1757090593999-68ad03db9e95","vercel-screenshot/1.0","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-mcavh16o0-evgenias-projects-8a10f913.vercel.app","dpl_8LqxXviJTMqcrDcPAT3kwP1pDmPL",45,"iad1",117,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DC5FEAD9JH9FFEQ6S3VDXA","uIzoxIR7ZbL1",1
"2025-09-05 16:40:07",1757090407108,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",-1,"fxspk-1757090405446-f36432832f35","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: ⚙️  load multiple .env files with { path: ['.env.local', '.env'] }","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DBZQKHFG154KQ1Y980WF2R","",-1
"2025-09-05 16:40:07",1757090407040,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/status","GET","",-1,"sn62x-1757090405444-65b582ffd368","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",-1,"iad1",-1,-1,"[dotenv@17.2.1] injecting env (0) from .env -- tip: 🛠️  run anywhere with `dotenvx run -- yourcommand`","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DBZQKJCG7XBX68STR7E32N","",-1
"2025-09-05 16:40:06",1757090406002,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/status","GET","",200,"sn62x-1757090405444-65b582ffd368","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",16,"iad1",117,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DBZQKJCG7XBX68STR7E32N","686bA3fzjUGm",1
"2025-09-05 16:40:06",1757090406001,"ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app/api/analyses","GET","",200,"fxspk-1757090405446-f36432832f35","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15","info","production","main","","lambda","/api/server.js","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","ai-docs-analyzer-nynr64gpy-evgenias-projects-8a10f913.vercel.app","dpl_ETZd7kjPayQwXNprz64AW6DKGDq3",40,"iad1",119,2048,"","prj_fiD4bk9P6G49I3b2v1HMr3zpTXTR","","","01K4DBZQKHFG154KQ1Y980WF2R","XXMC6uZIRmbl",1
